Location,Address,City,Country,Long,Lat,Description,Photo,Type,LocationURL,Source
Arcadian Books and Prints,"714 Orleans Avenue, New Orleans, LA, USA, ","New Orleans, LA",US,29.95853,-90.067,"Arcadian Books and Prints is known for its large collection of French language publications and its stacks of books which nearly reach the ceiling. In addition to French, Arcadian also has extensive offerings in a number of foreign languages including Spanish, German, Latin, and Russian. Despite the seemingly scattered array of books, the shopkeeper is extremely helpful and is able to find anything one may need. Upon walking in, guests will be sure to notice that wonderful ‘bookstore smell’.",,Bookstore,,Experience
Beckham’s Bookshop,"228 Decatur Street, New Orleans, LA, USA, ","New Orleans, LA",US,29.95329,-90.06795,"Beckham’s Bookshop is located in the French Quarter and has been open since 1967. The two-story shop houses 50 to 60 thousand used books. In addition to their large number of topics, ranging from philosophy and law to theatre and humor, Beckham’s also carries new publications about Louisiana, New Orleans and the American South. The locally-themed books focus primarily on topics such as music, literature, cooking, history, and architecture. In addition to their extensive collection of literature, Beckham’s also offers used classical LPs and CDs.",,Bookstore,,Experience
Faulkner House Books,"624 Pirate’s Alley, New Orleans, LA, USA","New Orleans, LA",US,29.95814,-90.06426,"William Faulkner came to live in the New Orleans French Quarter in 1924, long before he wrote As I Lay Dying or The Sound and the Fury. He lived in a yellow four-story building on Pirate Alley next to St. Louis Cathedral in the French Quarter with the artist William Spratling. Today, this building is known as Faulkner House and the ground floor is home to Faulkner House Books. Faulkner House Books specializes in rare editions, fine literature and, of course, the works of William Faulkner.",,Bookstore,,Experience
Octavia Books,"513 Octavia Street, New Orleans, LA, USA, ","New Orleans, LA",US,29.9188,-90.11879,"Located on Octavia Street in Uptown New Orleans, Octavia Books is tucked away in a neighborhood just off of the bustling Magazine Street shopping area. The shop has a sleek, modern feel, making choosing a book efficient and easy. Octavia Books hosts frequent book-signings and talks, making it an ideal location to meet regional and national authors face to face. The staff are extremely helpful and extensive browsing is encouraged.",,Bookstore,,Experience
Blue Cypress Books.,"Blue Cypress Books 8126 Oak St New Orleans, LA 70118","New Orleans, LA",US,29.94762,-90.13055,"Nestled in the picturesque Riverbend neighborhood, Blue Cypress Books is the perfect place for readers to escape into another world. It’s surrounded by neighborhood coffee shops and local restaurants that bring its quaintness to a whole new level.",,Bookstore,,Experience
Community Book Center,"2523 Bayou Rd, New Orleans, LA 70119","New Orleans, LA",US,29.97647,-90.07636,Coming to this New Orleans bookstore feels like coming home to your family. This cozy neighborhood gem specializes in African-American literature and is located near the Tremé area of New Orleans,,Bookstore,,Culture Trip
Crescent City Books,"124 Baronne Street, New Orleans, LA< US","New Orleans, LA",US,29.95375,-90.07139,"An old-school French Quarter bookstore, Crescent City Books sells used books by the stacks. If there’s an out-of-print book that you couldn’t find anywhere else in New Orleans, you have your best chances here. You will probably find Crescent City to be one of the most interesting places that you’ll visit in the city.",,Bookstore,,Culture Trip
The Morgan Library & Museum,"225 Madison Ave, New York, NY 10016","New York, NY",US,40.74923,-73.98359,"A beautiful, magical space that transports you far away from the bustle and noise of the world outside. And even more unreal, the guards all greet you cheerfully as you enter each room and exhibition.",https://fastly.4sqi.net/img/general/1116x400/1413072_LBSSLdnWf4dbsVctzeEeuYANrFToD8Ir-S7DQHbqq5U.jpg,Library,https://www.themorgan.org/,Experience
The Los Angeles Public Library,"630 W 5th St, Los Angeles, CA 90071","Los Angeles, CA ",US,34.0348263,-118.2673324,"As the largest public library in the west, the Los Angeles Central Library has been captivating book and architecture lovers since its construction in 1926. The building’s architect—Bertram Goodhue—drew upon design elements from ancient Egypt to create a geometric facade that is an early example of Art Deco.

The library’s most recognizable feature is the tiled pyramid at the top that has a golden hand holding a torch. A 1993 addition added 330,000 square feet of space—called the Tom Bradley wing—and helped to restore the original Goodhue building as well.",https://www.discoverlosangeles.com/sites/default/files/styles/article_section/public/media/Culture/central-library-rotunda-zodiac-chandelier.jpg,Library,https://www.lapl.org/about-lapl/press/central-facts,Curbed
House Poem,"408 Sampsonia Way, Pittsburgh, PA 15212","Pittsburgh, PA",US,40.45699,-80.01174,"House Poem was created by Huang Xiang, the first exiled writer in the City of Asylum/Pittsburgh residency program. Mr. Huang lived in the house for almost three years, and the house is now used by other writers in City of Asylum/Pittsburgh programs.",,Literary Landmark,http://cityofasylum.org/portfolio/house-poem/,bookriot
White Whale Bookstore ,"4754 Liberty Ave, Pittsburgh, PA 15224","Pittsburgh, PA",US,40.46107,-79.95039,"""We are an independent bookstore in Pittsburgh. Our selection of new and used books includes a broad range of contemporary and literary fiction, poetry, history, philosophy, local authors, independent presses, and much more. If we don’t have a book in stock, we are happy to order it for you.",,Bookstore,http://whitewhalebookstore.com/,bookriot
Caliban Book Shop,"410 S Craig St, Pittsburgh, PA 15213","Pittsburgh, PA",US,40.4449,-79.95108,"""‘Greed Came Over Me’: $8 Million in Rarities Stolen From Pittsburgh Library"" https://www.nytimes.com/2018/07/21/us/rare-books-stolen-pittsburgh.html",,Bookstore,ttps://www.calibanbooks.com/,Experience
The George Peabody Library,"17 E Mt Vernon Pl, Baltimore, MD 21202","Baltimore, MD",US,39.2972,-76.61721,,,Library,https://peabodyevents.library.jhu.edu/,Experience
The Big Idea Cooperative Bookstore & Café,"4812 Liberty Ave, Pittsburgh, PA 15224","Pittsburgh, PA",US,40.46024,-79.94885,"""antiprofit bookstore and cafe since 2001""",,Bookstore,http://thebigideapgh.org/,Google
The Booksmith,"1644 Haight St, San Francisco, CA 94117","San Francisco, CA",US,37.7698,-122.4516,"""an adorable bookstore that still stands. Oh my god I passed this store while drunk-wandering through Haight-Ashbury and was beguiled by their dollhouses and the fact that every book I’ve been wanting to read was in the window display""",https://sanfranciscobookreview.com/wp-content/uploads/The-Booksmith-1080x675.jpg,Bookstore,https://www.booksmith.com/,bookriot
City Lights Booksellers & Publishers,"4519, 261 Columbus Ave, San Francisco, CA 94133","San Francisco, CA",US,37.79761,-122.40875,"City Lights Bookstore is both one of San Francisco’s most iconic bookstores and the symbol of a famous literary movement hailing from the city. Referencing the bookstore’s historic role in promoting the Beat movement and Allen Ginsberg’s famous poem, bumper stickers can be seen throughout the city proclaiming ‘HOWL if you love City Lights.’ ",http://mediad.publicbroadcasting.net/p/kalw/files/styles/medium/public/201306/City_Lights.jpg,Bookstore,http://www.citylights.com/,bookriot
Dog Eared Books,"900 Valencia St, San Francisco, CA, USA","San Francisco, CA",US,37.75837,-122.42366,"""With creaky wooden floors, a carefully curated selection of new and used books and a loyal clientele of community readers, Dog Eared Books epitomizes the best, most inimitable characteristics of an independent bookstore. In addition to their general interest stock, the store excels in local literature and small press, as well as Beat and off-beat genres.""",http://seeninsanfrancisco.com/wp-content/uploads/2016/08/dog-eared-books-valencia-street.jpg,Bookstore,http://www.dogearedbooks.com/,Culture Trip
Borderlands Books,"866 Valencia St, San Francisco, CA 94110","San Francisco, CA",US,37.75905,-122.42373,"""What goes best with books? Well coffee, tea, and pastries of course! Borderlands Books is a modestly sized bookstore specializing in genre fiction with vast selection of books in mystery, horror, fantasy, and science fiction. Borderlands Café, which is connected to the bookstore, offers patrons of the bookstore a wonderfully well-lit space to read their newly purchased novel and sip on some hot tea or coffee. Come in to enjoy the classy décor and great selection of books.""",https://media2.fdncms.com/sfexaminer/imager/borderlands-books-in-san-franciscos-missi/u/original/2918741/bh4q3387.jpg,Bookstore,https://borderlands-books.com/,Culture Trip
Green Apple Books,"506 Clement St, San Francisco, CA
506 Clement St, San Francisco, CA
506 Clement St, San Francisco, CA","San Francisco, CA",US,37.78305,-122.4669,"""More than 60,000 new & 100,000 used books fill the shelves at this beloved bookstore.""",https://www.abebooks.com/blog/wp-content/uploads/2015/10/IMG_0769-1024x647.jpg,Bookstore,https://www.greenapplebooks.com/,Culture Trip
Alexander Book Company,"50 2nd St, San Francisco, CA 94105","San Francisco, CA",US,37.78858,-122.40292,"""Independent Downtown bookstore selling 3 floors' worth of titles plus a kids' section.",https://s3-media2.fl.yelpcdn.com/bphoto/HpTI9rD1XlMsesZkCW62IQ/ls.jpg,Bookstore,https://www.alexanderbook.com/,Culture Trip
Books Inc.,"3515 California St, San Francisco, CA 94118","San Francisco, CA",US,37.78646,-122.454,"""Veteran bookseller providing fiction & nonfiction, plus kids' titles. Some locations host events.""",https://s.hdnux.com/photos/44/51/55/9608047/11/rawImage.jpg,Bookstore,https://www.booksinc.net/SFLaurel,Culture Trip
COMMUNITY THRIFT,"623 Valencia St, San Francisco, CA, USA","San Francisco, CA",US,37.7628,-122.42365,"They have multiple different types of books, including some on music and feminism, but the bulk of what they have to offer is their extensive fiction collection. The books are almost all under two dollars, so your book buying binge won’t hurt your wallet. If that wasn’t enough, most of the profits they make go towards local charities.",https://cdn.theculturetrip.com/wp-content/uploads/2016/03/photo_4_best-book-stores-in-the-mission.jpg,Bookstore,http://www.communitythriftsf.org/,Culture Trip
Aardvark,"227 Church St, San Francisco, CA","San Francisco, CA",US,37.76706,-122.43077,"Spacious emporium selling new & secondhand books, cards & newspapers in a laid-back environment.",https://hoodwork-production.s3.amazonaws.com/uploads/story/image/45137/bookstore2.jpg,Bookstore,http://www.aardvarkbookssf.com/,Culture Trip
Vesuvio Café,"255 Columbus Ave, San Francisco, CA, USA","San Francisco, CA",US,37.79749,-122.40864,"""This saloon, located directly across the street from City Lights Bookstore, was a favorite meeting spot for members of the Beat Generation.""",https://img.theculturetrip.com/768x//wp-content/uploads/2016/01/Photo-3-Book-Lovers-Guide-to-San-Francisco.jpg,Literary Landmark,http://www.vesuvio.com/,Culture Trip
Kayo Books,"814 Post St, San Francisco, CA","San Francisco, CA",US,37.78753,-122.41752,"""is it a paperback book in your pocket or you are just happy to see me""",http://1ryzas42x65e2oosia40bgli.wpengine.netdna-cdn.com/wp-content/uploads/2016/08/art1-3.jpg,Bookstore,http://www.kayobooks.com/,Culture Trip
Secret Headquarters,"3817 Sunset Blvd, Los Angeles, CA 90026","Los Angeles, CA",US,34.09136,-118.28132,"""3817 Sunset Blvd, Los Angeles, CA 90026""",https://s3-media2.fl.yelpcdn.com/bphoto/5ci-brpltdmSL0MUHJ-_kA/ls.jpg,Bookstore,https://www.thesecretheadquarters.com,Culture Trip
The Last Bookstore,"453 S Spring St, Los Angeles, CA 90013","Los Angeles, CA",US,34.04775,-118.25167,Airy book & record store offering new & used items in a multilevel space adorned with local art.,http://www.lol-la.com/wp-content/uploads/2014/06/TLBS-620x400.jpg,Bookstore,http://lastbookstorela.com/,Experience
Alley Cat Bookstore and Gallery,"3036 24th St, San Francisco, CA, USA",,US,37.752764,-122.4148957,"""The large white walls are clad with plenty of pieces of art to feast your eyes on while taking a break in your book browsing exploits. The books that are offered range in all different kinds of genres and types, from graphic novels to literary journals.""",https://cdn.theculturetrip.com/wp-content/uploads/2016/03/photo_6_best-book-stores-in-the-mission.jpg,Bookstore,http://www.alleycatbookshop.com/,Culture Trip
John K. King Used & Rare Books,"901 W. Lafayette Blvd., Detroit, MI, USA","Detroit, MI",US,42.327534,-83.0592277,"With a lifelong passion for books, John K. King eventually had to find a space large enough to hold his collection, which necessitated a gigantic four-story former glove factory in downtown Detroit. Now containing over a million volumes, John K. King Used & Rare Books specializes in out-of-print, rare, and out-of-the-ordinary books, and even includes archival materials like ‘the books and papers of the auto barons (from Dodge to DeLorean)’",https://detroithistorical.org/sites/default/files/images/events/king_store_2.jpg,Bookstore,https://www.rarebooklink.com/,Culture Trip
Russian Hill Bookstore,"2234 Polk St, San Francisco, CA","San Francisco, CA",US,37.796708,-122.4240227,"""Russian Hill Bookstore is one of the last family-owned independent bookstores left in San Francisco, popular among local artists, writers, and other creatives. Located on the popular Polk Street, it has expanded since its opening in 1993 to incorporate an excellent selection of greeting cards, board games, toys, and other gifts, in addition to its thriving collection of new and used books. The store offers the option of buying or trading for your used books, so clear out your bookshelf and stop by.""",https://cdn4.gbot.me/photos/XN/iZ/1450737773/-Postcard_of_Russian_Hill_-20000000009335691-375x500.jpg,Bookstore,http://russianhillbookstore.com/,Culture Trip
Christopher’s Books,"400 18th St, San Francisco, CA","San Francisco, CA",US,37.7626784,-122.3988856,"""Christopher’s Books is a friendly neighborhood bookstore located in Potrero Hill, open since 1991. The store is small and charming, and while it does not have an extensive selection to choose from, it makes up for it with quality curation and more unique options. """,http://christophersbooks.com/images/chrisBooksBldg.jpg,Bookstore,http://christophersbooks.com/,Culture Trip
Bird & Beckett Books & Records,"653 Chenery St, San Francisco, CA","San Francisco, CA",US,37.734413,-122.4351437,"""Bird & Beckett Books & Records is a staple in the Glen Park neighborhood. The store goes beyond the standards of a quiet, neighborhood bookstore, engaging with the community with plenty of live music, poetry readings, open mic nights, and other events. With an emphasis on jazz, the store brings groovy vibes to the neighborhood. Stop by to enjoy the music and browse the great selection of books, always excellently curated to draw you to the stacks – but be warned, you may get lost in them.""",https://igx.4sqi.net/img/general/200x200/31534_8EaCqtqI7SpdjQad5xkZVYZt1tQRCpcRkznVugxvIh0.jpg,Bookstore,http://www.birdbeckett.com/,Culture Trip
Powell’s City of Books,"1005 W. Burnside St., Portland, OR, USA","Portland, OR",US,45.5233397,-122.6838315,"Powell’s Books has become one of the largest independent bookstores in the world, and it definitely remains one of the most famous bookstores in the United States. If you are looking for a book, there is a very high likelihood that you can find it here, along with a never-ending supply of passionate book-lovers who wander happily through the aisles looking for their next discovery.",,Bookstore,https://www.powells.com/,Culture Trip
Parnassus Books,"3900 Hillsboro Pike, Nashville, TN, USA","Nashville, TN",US,36.1055912,-86.8151379,"""After the last major bookstore closed in Nashville, author Ann Patchett took on the responsibility of opening one herself with partner Karen Hayes, seizing the opportunity to create, in place of the usual Borders-type monolith, a bookstore like those she frequented in her youth, where ‘the people who worked there remembered who you were and what you read, even if you were 10.’ """,https://static01.nyt.com/images/2016/12/11/travel/11PURSUITS1/11PURSUITS1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Bookstore,https://www.parnassusbooks.net/,Culture Trip
Prairie Lights,"15 S. Dubuque St., Iowa City, IA, USA","Iowa City, IA",US,41.6607199,-91.5354793,"""Located in a building that once housed a 1930s local literary society frequented by writers such as Carl Sandburg, Robert Frost, Sherwood Anderson, Langston Hughes, and E.E. cummings, Prairie Lights enjoys a particular literary pedigree not easily found elsewhere. It also is home to ‘Live from Prairie Lights’, a long running literary reading series presented live and then streamed over the Internet. Originally conceived by founder Jim Harris as a bookstore in which to find newer voices and established writers of fiction, being close to the home of the famous Iowa Writers’ Workshop at the University of Iowa""",https://pbs.twimg.com/profile_images/2731316052/2dbfea4217e1ccf7e2372077ae0c70be_400x400.jpeg,Bookstore,https://www.prairielights.com/,Culture Trip
Turnrow Book Co.,"304 Howard St, Greenwood, MS 38930","Greenwood, MS",US,33.5193216,-90.1845851,"""I’m not sure why you’d be going to Greenwood, Miss., except for a mad desire to see TurnRow Book Company. It’s one of the most beautiful bookstores I know, and the sheer unlikelihood of its presence makes a traveler feel she’s stumbled into an oasis in the Mississippi Delta.""",https://i.pinimg.com/280x280_RS/de/7c/31/de7c3112d46e7bc227701d7db94fc1db.jpg,Bookstore,https://turnrowbooks.com/,New York Times
Tattered Cover Book Store,"1628 16th Street Mall, Denver, CO, USA","Denver, CO",US,39.7531224,-105.0023333,"""Tattered Cover now has four branches in the metro area, and three satellite stores at Denver International Airport. The stores have hosted most of the major authors of the world, with community events nearly every night. The location in Denver’s historic Lower Downtown (‘LoDo’) district is an intimate and welcoming spot with comfy couches and armchairs, a large newsstand, and cafe.",https://www.tatteredcover.com/sites/tatteredcover.d7.indiebound.com/files/aspen_grove.jpg,Bookstore,https://www.tatteredcover.com/,Culture Trip
Bart’s Books,"302 W. Matilija St., Ojai, CA, USA","Ojai, CA",US,34.4486398,-119.2520589,"""What began as one book lover named Richard Bartinsdale selling books on the sidewalk using coffee cans in lieu of cash registers has turned into what is now claimed to be ‘the largest independently owned outdoor bookstore in the world,’ graced by the perennial sunshine of its Southern California location. While the expansive inventory has grown, including new books and even some rare first editions, the famous original ‘honour system’ lives on in bookcases along the street, where you can shop after closing time and just drop the corresponding number of coins in the coin box. With its pleasant reading areas and relaxed vibe, this is not only a must-see spot during a visit to Ojai but also a gathering spot for the locals of this artsy, nature-rich community.""",http://c8.alamy.com/comp/KH9XEA/the-worlds-greatest-outdoor-bookstore-barts-books-in-ojai-california-KH9XEA.jpg,Bookstore,http://www.bartsbooksojai.com/,Culture Trip
Books & Books,"65 Aragon Ave., Coral Gables, FL, USA","Coral Gables, FL",US,25.7505,-80.2621477,"""Founded by Mitchell Kaplan in 1982, Books & Books is located in a stunning 1927 Mediterranean-style building that is listed on the Coral Gables Register of Historic Places. The expansive South Florida bookshop, which enjoys original tile floors, a fireplace, beamed ceilings, dark-wood bookshelves, and an open-air courtyard, is not only a beautiful place to shop for books but also one of the largest independent booksellers in the state of Florida. While they see a continuous flow of writers at their reading series and even host live music in the palm-lined courtyard, their secret weapon appears to be their full-service cafe, a much-loved spot for a healthy lunch or a glass of wine with friends.""",http://booksandbooks.lightningbasehosted.com/wp-content/uploads/2016/10/Gables-Books-Books-Ladder-2-copy.jpg,Bookstore,https://booksandbooks.com/,Culture Trip
"The Doe Library in Berkeley, California","University of California, South Hall Rd, Berkeley, CA 94704","Berkeley, CA",US,37.8723786,-122.2623407,"Set on the UC Berkeley campus, the Doe Library—which sits adjacent to the Bancroft Library—features a Neoclassical-style building completed in 1911. Named after its benefactor, Charles Franklin Doe, the structure’s iconic columns and grand scale make it one of the most recognizable buildings on campus.",http://i2.wp.com/www.dailycal.org/assets/uploads/2015/02/IMG_2414-e1423255186483-900x580.jpg,Library,http://www.lib.berkeley.edu/libraries/doe-library,Curbed
Suzzallo and Allen Libraries,"4000 15th Ave NE, Seattle, WA 98195","Seattle, WA",US,47.6557702,-122.3100314,"Designed in the early 1920s by Seattle architects Carl F. Gould, Sr. and Charles H. Bebb, the Suzzallo Library boasts a facade made with sandstone, precast stone, terra-cotta, and brick. Reminiscent of a large European cathedral, the library’s Collegiate Gothic style makes it one of the best-known buildings on campus.

While the exterior is impressive, the 65-foot high and 250-foot long reading room is simply awe-inspiring. A vaulted ceiling with bright colors and gilded details is accented by oak bookcases and hard-carved friezes. Large leaded-glass windows let in natural light and long desks provide plenty of study room.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/MK03235_University_of_Washington_Suzzallo_Library.jpg/220px-MK03235_University_of_Washington_Suzzallo_Library.jpg,Library,http://www.lib.washington.edu/suzzallo/,Curbed
State Law Library,"1007 E Grand Ave # 214, Des Moines, IA 50319","Des Moines, IA",US,41.5911805,-93.6062534,"This library in Des Moines, Iowa, provides Iowa lawmakers, government employees, the Iowa legal community, and the general public access to 105,000 volumes of legal treatises on state, federal, regulatory, and case law.

Originally created thanks to an act of Congress in 1838, the law library’s collection moved from location to location until 1886 when it settled on the second floor of the State Capitol Building in Des Moines. The library’s grand hall is intricately decorated in the Victorian style, boasting painted ceilings, stained glass inserts, and book-lined alcoves forty-five feet in height",https://hips.hearstapps.com/hbu.h-cdn.co/assets/16/29/2048x1024/landscape-1468877470-index-iowa-library.jpg?resize=480:*,Library,https://www.statelibraryofiowa.org/services/collections/law-library,Curbed
Seattle Central Library,"1000 4th Ave, Seattle, WA 98104","Seattle, WA",US,47.6067006,-122.3346896,"""The Seattle Public Library's Central Library is the flagship library of The Seattle Public Library system. The 11-story glass and steel building in downtown Seattle, Washington was opened to the public on Sunday, May 23, 2004""",https://upload.wikimedia.org/wikipedia/commons/7/7f/2009-0604-19-SeattleCentralLibrary.jpg,Library,https://www.spl.org/hours-and-locations/central-library,Curbed
"Sawyer Library in Williamstown, Massachusetts","Stetson Hall, 26 Hopkins Hall Dr, Williamstown, MA 01267","Williamstown, MA",US,42.7135533,-73.2042445,"Williams College demolished a 1970s-era library building to make room for the new Sawyer Library, but the architects of the project—Bohlin Cywinski Jackson—also had to incorporate the classical styling of the historic Stetson Hall, built in 1921.

The result cost $66.8 million and is a blend of old and new, with a modern five-story facility housing the new Sawyer Library, the Chapin Library of Rare Books, and the Center for Education Technology. The new section features a central atrium that prioritizes natural light and offers beautiful views of campus.",https://i0.wp.com/www10.aeccafe.com/blogs/arch-showcase/files/2016/04/Williams-Sawyer-Library-1.jpg,Library,https://library.williams.edu/,Curbed
San Francisco Public Library,"100 Larkin St,  94102","San Francisco, CA",US,37.7790819,-122.4179848,"The Main Library of the San Francisco Public Library system opened at its current site in 1996 and features seven floors with two million items. The building was designed by James Ingo Freed of Pei Cobb Freed & Partners (New York) and Cathy Simon of Simon Martin-Vegue Winkelstein & Moris (San Francisco) and represents the largest public/private partnership in the history of San Francisco at a cost of more than $122 million.

The most recognizable feature of the library is a dramatic skylight in the building’s five-story central atrium. Bridges connect the floors across lightwells, and the design includes a grand staircase that rises four stories.",http://sfyouthworks.org/wp-content/uploads/2012/09/34120917.jpg,Library,https://sfpl.org/index.php?pg=0100000101,Curbed
Providence Athenaeum,"251 Benefit St, Providence, RI 02903","Providence, RI",US,41.825788,-71.4085667,"The Providence Athenaeum was founded as ""The Athenaeum"" in 1836 as an independent, member-supported library open to the public. Its progenitors were two earlier libraries: The Providence Library Company, founded in 1753, and the Providence Athenaeum, founded in 1831.",https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2I3ODI2MGQ5YjYxZTFjYzlkZF9Qcm92aWRlbmNlX0F0aGVuYWV1bV9pbnRlcmlvcl8yMDEzLmpwZyJdLFsicCIsInRodW1iIiwieDM5MD4iXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il1d/Providence_Athenaeum_interior_2013.jpg,Library,https://providenceathenaeum.org/,Business Insider
Phillips Exeter Academy Library,"21 Elm St, Exeter, NH 03833","Exeter, NH",US,42.97882,-70.94957,"Perhaps no space better exemplifies Louis Kahn's masterful exploitation of mass, scale, surface, and emotion than his Phillips Exeter Academy Library. Hiding behind a regimented brick façade is the building's enormous, seventy-foot-tall atrium, lit by upper clerestories and encircled by book-filled balconies. These are framed by gigantic concrete walls, cut with massive circles, which Kahn called ""concrete donuts,"" shielding the library's more than 250,000 books from daylight. The intense shift between the unassuming exterior and breathtaking interior is indicative of Kahn's ability to provide an unexpected visceral experience. Climb the corner stairs to the upper floors and be mesmerised by the changing atrium views and those of the historic campus.",,Library,https://www.exeter.edu/academics/library,Dezeen
New York Public Library,"476 5th Ave, New York, NY 10018","New York, NY",US,40.75312,-74.05264,"Such a beautiful building. You would think you are in Europe and it was built 500 years ago. Oh, and a must visit for Ghostbusters fans.",https://fastly.4sqi.net/img/general/1116x400/19403364_cUJdUzXUYTEjHp4Ds8AEc1svpAKrriwXxUgHdIznVhc.jpg,Library,https://www.nypl.org/,Experience
Library of Congress,"101 Independence Ave SE, Washington, DC 20540","Washington, DC",US,38.888684,-77.0069077,"No round up of the most stunning libraries in the United States would be complete without the Library of Congress in Washington D.C. The largest library in the world, the Library of Congress is housed in three buildings on Capitol Hill.",https://www.loc.gov/portals/static/visit/tours/images/student-tour.jpg,Library,https://www.loc.gov/,Curbed
Lawrence Public Library,"707 Vermont St,  66044","Lawrence, KS",US,38.9708174,-95.239817,"The new design—from the firm Gould Evans—uses glass and terra-cotta to create a welcoming space that’s bright and airy. A wraparound reading room was a major addition, and the renovation also included new communal meeting spaces, a music recording studio, and teen gaming zones. Outside the library, locals can enjoy a butterfly garden in the summer and an ice skating rink in the winter.",https://www.arch2o.com/wp-content/uploads/2017/11/Arch2O-Lawrence-Public-Library-Gould-Evans-017-copy.jpg,Library,https://lplks.org/,Curbed
Homer City Library,"500 Hazel Ave, Homer, AK 99603","Homer, AK",US,59.6438501,-151.5330846,"The Homer Public Library won the 2007 Honor Award, AIA Alaska Chapter, for its modern design and use of local materials.",https://amp.businessinsider.com/images/579bb64add0895ce188b49b0-1920-1440.jpg,Library,https://www.cityofhomer-ak.gov/library,Business Insider
