Location,Address,City,Country,Long,Lat,Description,Photo,Type,LocationURL,Source
Crescent City Books,"124 Baronne Street, New Orleans, LA< US","New Orleans, LA",US,29.95375,-90.07139,"An old-school French Quarter bookstore, Crescent City Books sells used books by the stacks. If there’s an out-of-print book that you couldn’t find anywhere else in New Orleans, you have your best chances here. You will probably find Crescent City to be one of the most interesting places that you’ll visit in the city.",,Bookstore,,Culture Trip
Phillips Exeter Academy Library,"21 Elm St, Exeter, NH 03833","Exeter, NH",US,42.97882,-70.94957,"Perhaps no space better exemplifies Louis Kahn's masterful exploitation of mass, scale, surface, and emotion than his Phillips Exeter Academy Library. Hiding behind a regimented brick façade is the building's enormous, seventy-foot-tall atrium, lit by upper clerestories and encircled by book-filled balconies. These are framed by gigantic concrete walls, cut with massive circles, which Kahn called ""concrete donuts,"" shielding the library's more than 250,000 books from daylight. The intense shift between the unassuming exterior and breathtaking interior is indicative of Kahn's ability to provide an unexpected visceral experience. Climb the corner stairs to the upper floors and be mesmerised by the changing atrium views and those of the historic campus.",,Library,https://www.exeter.edu/academics/library,Dezeen
The George Peabody Library,"17 E Mt Vernon Pl, Baltimore, MD 21202","Baltimore, MD",US,39.2972,-76.61721,,,Library,https://peabodyevents.library.jhu.edu/,Experience
House Poem,"408 Sampsonia Way, Pittsburgh, PA 15212","Pittsburgh, PA",US,40.45699,-80.01174,"House Poem was created by Huang Xiang, the first exiled writer in the City of Asylum/Pittsburgh residency program. Mr. Huang lived in the house for almost three years, and the house is now used by other writers in City of Asylum/Pittsburgh programs.",,Literary Landmark,http://cityofasylum.org/portfolio/house-poem/,bookriot
White Whale Bookstore ,"4754 Liberty Ave, Pittsburgh, PA 15224","Pittsburgh, PA",US,40.46107,-79.95039,"""We are an independent bookstore in Pittsburgh. Our selection of new and used books includes a broad range of contemporary and literary fiction, poetry, history, philosophy, local authors, independent presses, and much more. If we don’t have a book in stock, we are happy to order it for you.",,Bookstore,http://whitewhalebookstore.com/,bookriot
Caliban Book Shop,"410 S Craig St, Pittsburgh, PA 15213","Pittsburgh, PA",US,40.4449,-79.95108,"""‘Greed Came Over Me’: $8 Million in Rarities Stolen From Pittsburgh Library"" https://www.nytimes.com/2018/07/21/us/rare-books-stolen-pittsburgh.html",,Bookstore,ttps://www.calibanbooks.com/,Experience
Carnegie Library,"4400 Forbes Ave, Pittsburgh, PA 15213","Pittsburgh, PA",US,40.44362,-79.95073,"""Carnegie Library of Pittsburgh empowers people to transform their lives through life-long learning, digital literacy and connections to others.",,Library,https://www.carnegielibrary.org/,Experience
The Big Idea Cooperative Bookstore & Café,"4812 Liberty Ave, Pittsburgh, PA 15224","Pittsburgh, PA",US,40.46024,-79.94885,"""antiprofit bookstore and cafe since 2001""",,Bookstore,http://thebigideapgh.org/,Google
The Booksmith,"1644 Haight St, San Francisco, CA 94117","San Francisco, CA",US,37.7698,-122.4516,"""an adorable bookstore that still stands. Oh my god I passed this store while drunk-wandering through Haight-Ashbury and was beguiled by their dollhouses and the fact that every book I’ve been wanting to read was in the window display""",https://sanfranciscobookreview.com/wp-content/uploads/The-Booksmith-1080x675.jpg,Bookstore,https://www.booksmith.com/,bookriot
City Lights Booksellers & Publishers,"4519, 261 Columbus Ave, San Francisco, CA 94133","San Francisco, CA",US,37.79761,-122.40875,"City Lights Bookstore is both one of San Francisco’s most iconic bookstores and the symbol of a famous literary movement hailing from the city. Referencing the bookstore’s historic role in promoting the Beat movement and Allen Ginsberg’s famous poem, bumper stickers can be seen throughout the city proclaiming ‘HOWL if you love City Lights.’ ",http://mediad.publicbroadcasting.net/p/kalw/files/styles/medium/public/201306/City_Lights.jpg,Bookstore,http://www.citylights.com/,bookriot
Dog Eared Books,"900 Valencia St, San Francisco, CA, USA","San Francisco, CA",US,37.75837,-122.42366,"""With creaky wooden floors, a carefully curated selection of new and used books and a loyal clientele of community readers, Dog Eared Books epitomizes the best, most inimitable characteristics of an independent bookstore. In addition to their general interest stock, the store excels in local literature and small press, as well as Beat and off-beat genres.""",http://seeninsanfrancisco.com/wp-content/uploads/2016/08/dog-eared-books-valencia-street.jpg,Bookstore,http://www.dogearedbooks.com/,Culture Trip
Borderlands Books,"866 Valencia St, San Francisco, CA 94110","San Francisco, CA",US,37.75905,-122.42373,"""What goes best with books? Well coffee, tea, and pastries of course! Borderlands Books is a modestly sized bookstore specializing in genre fiction with vast selection of books in mystery, horror, fantasy, and science fiction. Borderlands Café, which is connected to the bookstore, offers patrons of the bookstore a wonderfully well-lit space to read their newly purchased novel and sip on some hot tea or coffee. Come in to enjoy the classy décor and great selection of books.""",https://media2.fdncms.com/sfexaminer/imager/borderlands-books-in-san-franciscos-missi/u/original/2918741/bh4q3387.jpg,Bookstore,https://borderlands-books.com/,Culture Trip
Green Apple Books,"506 Clement St, San Francisco, CA
506 Clement St, San Francisco, CA
506 Clement St, San Francisco, CA","San Francisco, CA",US,37.78305,-122.4669,"""More than 60,000 new & 100,000 used books fill the shelves at this beloved bookstore.""",https://www.abebooks.com/blog/wp-content/uploads/2015/10/IMG_0769-1024x647.jpg,Bookstore,https://www.greenapplebooks.com/,Culture Trip
Alexander Book Company,"50 2nd St, San Francisco, CA 94105","San Francisco, CA",US,37.78858,-122.40292,"""Independent Downtown bookstore selling 3 floors' worth of titles plus a kids' section.",https://s3-media2.fl.yelpcdn.com/bphoto/HpTI9rD1XlMsesZkCW62IQ/ls.jpg,Bookstore,https://www.alexanderbook.com/,Culture Trip
Books Inc.,"3515 California St, San Francisco, CA 94118","San Francisco, CA",US,37.78646,-122.454,"""Veteran bookseller providing fiction & nonfiction, plus kids' titles. Some locations host events.""",https://s.hdnux.com/photos/44/51/55/9608047/11/rawImage.jpg,Bookstore,https://www.booksinc.net/SFLaurel,Culture Trip
COMMUNITY THRIFT,"623 Valencia St, San Francisco, CA, USA","San Francisco, CA",US,37.7628,-122.42365,"They have multiple different types of books, including some on music and feminism, but the bulk of what they have to offer is their extensive fiction collection. The books are almost all under two dollars, so your book buying binge won’t hurt your wallet. If that wasn’t enough, most of the profits they make go towards local charities.",https://cdn.theculturetrip.com/wp-content/uploads/2016/03/photo_4_best-book-stores-in-the-mission.jpg,Bookstore,http://www.communitythriftsf.org/,Culture Trip
Aardvark,"227 Church St, San Francisco, CA","San Francisco, CA",US,37.76706,-122.43077,"Spacious emporium selling new & secondhand books, cards & newspapers in a laid-back environment.",https://hoodwork-production.s3.amazonaws.com/uploads/story/image/45137/bookstore2.jpg,Bookstore,http://www.aardvarkbookssf.com/,Culture Trip
Vesuvio Café,"255 Columbus Ave, San Francisco, CA, USA","San Francisco, CA",US,37.79749,-122.40864,"""This saloon, located directly across the street from City Lights Bookstore, was a favorite meeting spot for members of the Beat Generation.""",https://img.theculturetrip.com/768x//wp-content/uploads/2016/01/Photo-3-Book-Lovers-Guide-to-San-Francisco.jpg,Literary Landmark,http://www.vesuvio.com/,Culture Trip
Kayo Books,"814 Post St, San Francisco, CA","San Francisco, CA",US,37.78753,-122.41752,"""is it a paperback book in your pocket or you are just happy to see me""",http://1ryzas42x65e2oosia40bgli.wpengine.netdna-cdn.com/wp-content/uploads/2016/08/art1-3.jpg,Bookstore,http://www.kayobooks.com/,Culture Trip
Secret Headquarters,"3817 Sunset Blvd, Los Angeles, CA 90026","Los Angeles, CA",US,34.09136,-118.28132,"""3817 Sunset Blvd, Los Angeles, CA 90026""",https://s3-media2.fl.yelpcdn.com/bphoto/5ci-brpltdmSL0MUHJ-_kA/ls.jpg,Bookstore,https://www.thesecretheadquarters.com,Culture Trip
The Last Bookstore,"453 S Spring St, Los Angeles, CA 90013","Los Angeles, CA",US,34.04775,-118.25167,Airy book & record store offering new & used items in a multilevel space adorned with local art.,http://www.lol-la.com/wp-content/uploads/2014/06/TLBS-620x400.jpg,Bookstore,http://lastbookstorela.com/,Experience
Alley Cat Bookstore and Gallery,"3036 24th St, San Francisco, CA, USA",,US,37.752764,-122.4148957,"""The large white walls are clad with plenty of pieces of art to feast your eyes on while taking a break in your book browsing exploits. The books that are offered range in all different kinds of genres and types, from graphic novels to literary journals.""",https://cdn.theculturetrip.com/wp-content/uploads/2016/03/photo_6_best-book-stores-in-the-mission.jpg,Bookstore,http://www.alleycatbookshop.com/,Culture Trip
John K. King Used & Rare Books,"901 W. Lafayette Blvd., Detroit, MI, USA","Detroit, MI",US,42.327534,-83.0592277,"With a lifelong passion for books, John K. King eventually had to find a space large enough to hold his collection, which necessitated a gigantic four-story former glove factory in downtown Detroit. Now containing over a million volumes, John K. King Used & Rare Books specializes in out-of-print, rare, and out-of-the-ordinary books, and even includes archival materials like ‘the books and papers of the auto barons (from Dodge to DeLorean)’",https://detroithistorical.org/sites/default/files/images/events/king_store_2.jpg,Bookstore,https://www.rarebooklink.com/,Culture Trip
Russian Hill Bookstore,"2234 Polk St, San Francisco, CA","San Francisco, CA",US,37.796708,-122.4240227,"""Russian Hill Bookstore is one of the last family-owned independent bookstores left in San Francisco, popular among local artists, writers, and other creatives. Located on the popular Polk Street, it has expanded since its opening in 1993 to incorporate an excellent selection of greeting cards, board games, toys, and other gifts, in addition to its thriving collection of new and used books. The store offers the option of buying or trading for your used books, so clear out your bookshelf and stop by.""",https://cdn4.gbot.me/photos/XN/iZ/1450737773/-Postcard_of_Russian_Hill_-20000000009335691-375x500.jpg,Bookstore,http://russianhillbookstore.com/,Culture Trip
Christopher’s Books,"400 18th St, San Francisco, CA","San Francisco, CA",US,37.7626784,-122.3988856,"""Christopher’s Books is a friendly neighborhood bookstore located in Potrero Hill, open since 1991. The store is small and charming, and while it does not have an extensive selection to choose from, it makes up for it with quality curation and more unique options. """,http://christophersbooks.com/images/chrisBooksBldg.jpg,Bookstore,http://christophersbooks.com/,Culture Trip
Bird & Beckett Books & Records,"653 Chenery St, San Francisco, CA","San Francisco, CA",US,37.734413,-122.4351437,"""Bird & Beckett Books & Records is a staple in the Glen Park neighborhood. The store goes beyond the standards of a quiet, neighborhood bookstore, engaging with the community with plenty of live music, poetry readings, open mic nights, and other events. With an emphasis on jazz, the store brings groovy vibes to the neighborhood. Stop by to enjoy the music and browse the great selection of books, always excellently curated to draw you to the stacks – but be warned, you may get lost in them.""",https://igx.4sqi.net/img/general/200x200/31534_8EaCqtqI7SpdjQad5xkZVYZt1tQRCpcRkznVugxvIh0.jpg,Bookstore,http://www.birdbeckett.com/,Culture Trip
Powell’s City of Books,"1005 W. Burnside St., Portland, OR, USA","Portland, OR",US,45.5233397,-122.6838315,"Powell’s Books has become one of the largest independent bookstores in the world, and it definitely remains one of the most famous bookstores in the United States. If you are looking for a book, there is a very high likelihood that you can find it here, along with a never-ending supply of passionate book-lovers who wander happily through the aisles looking for their next discovery.",,Bookstore,https://www.powells.com/,Culture Trip
Parnassus Books,"3900 Hillsboro Pike, Nashville, TN, USA","Nashville, TN",US,36.1055912,-86.8151379,"""After the last major bookstore closed in Nashville, author Ann Patchett took on the responsibility of opening one herself with partner Karen Hayes, seizing the opportunity to create, in place of the usual Borders-type monolith, a bookstore like those she frequented in her youth, where ‘the people who worked there remembered who you were and what you read, even if you were 10.’ """,https://static01.nyt.com/images/2016/12/11/travel/11PURSUITS1/11PURSUITS1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Bookstore,https://www.parnassusbooks.net/,Culture Trip
Prairie Lights,"15 S. Dubuque St., Iowa City, IA, USA","Iowa City, IA",US,41.6607199,-91.5354793,"""Located in a building that once housed a 1930s local literary society frequented by writers such as Carl Sandburg, Robert Frost, Sherwood Anderson, Langston Hughes, and E.E. cummings, Prairie Lights enjoys a particular literary pedigree not easily found elsewhere. It also is home to ‘Live from Prairie Lights’, a long running literary reading series presented live and then streamed over the Internet. Originally conceived by founder Jim Harris as a bookstore in which to find newer voices and established writers of fiction, being close to the home of the famous Iowa Writers’ Workshop at the University of Iowa""",https://pbs.twimg.com/profile_images/2731316052/2dbfea4217e1ccf7e2372077ae0c70be_400x400.jpeg,Bookstore,https://www.prairielights.com/,Culture Trip
Turnrow Book Co.,"304 Howard St, Greenwood, MS 38930","Greenwood, MS",US,33.5193216,-90.1845851,"""I’m not sure why you’d be going to Greenwood, Miss., except for a mad desire to see TurnRow Book Company. It’s one of the most beautiful bookstores I know, and the sheer unlikelihood of its presence makes a traveler feel she’s stumbled into an oasis in the Mississippi Delta.""",https://i.pinimg.com/280x280_RS/de/7c/31/de7c3112d46e7bc227701d7db94fc1db.jpg,Bookstore,https://turnrowbooks.com/,New York Times
Tattered Cover Book Store,"1628 16th Street Mall, Denver, CO, USA","Denver, CO",US,39.7531224,-105.0023333,"""Tattered Cover now has four branches in the metro area, and three satellite stores at Denver International Airport. The stores have hosted most of the major authors of the world, with community events nearly every night. The location in Denver’s historic Lower Downtown (‘LoDo’) district is an intimate and welcoming spot with comfy couches and armchairs, a large newsstand, and cafe.",https://www.tatteredcover.com/sites/tatteredcover.d7.indiebound.com/files/aspen_grove.jpg,Bookstore,https://www.tatteredcover.com/,Culture Trip
Bart’s Books,"302 W. Matilija St., Ojai, CA, USA","Ojai, CA",US,34.4486398,-119.2520589,"""What began as one book lover named Richard Bartinsdale selling books on the sidewalk using coffee cans in lieu of cash registers has turned into what is now claimed to be ‘the largest independently owned outdoor bookstore in the world,’ graced by the perennial sunshine of its Southern California location. While the expansive inventory has grown, including new books and even some rare first editions, the famous original ‘honour system’ lives on in bookcases along the street, where you can shop after closing time and just drop the corresponding number of coins in the coin box. With its pleasant reading areas and relaxed vibe, this is not only a must-see spot during a visit to Ojai but also a gathering spot for the locals of this artsy, nature-rich community.""",http://c8.alamy.com/comp/KH9XEA/the-worlds-greatest-outdoor-bookstore-barts-books-in-ojai-california-KH9XEA.jpg,Bookstore,http://www.bartsbooksojai.com/,Culture Trip
Books & Books,"65 Aragon Ave., Coral Gables, FL, USA","Coral Gables, FL",US,25.7505,-80.2621477,"""Founded by Mitchell Kaplan in 1982, Books & Books is located in a stunning 1927 Mediterranean-style building that is listed on the Coral Gables Register of Historic Places. The expansive South Florida bookshop, which enjoys original tile floors, a fireplace, beamed ceilings, dark-wood bookshelves, and an open-air courtyard, is not only a beautiful place to shop for books but also one of the largest independent booksellers in the state of Florida. While they see a continuous flow of writers at their reading series and even host live music in the palm-lined courtyard, their secret weapon appears to be their full-service cafe, a much-loved spot for a healthy lunch or a glass of wine with friends.""",http://booksandbooks.lightningbasehosted.com/wp-content/uploads/2016/10/Gables-Books-Books-Ladder-2-copy.jpg,Bookstore,https://booksandbooks.com/,Culture Trip
Seattle Central Library,"1000 4th Ave, Seattle, WA 98104","Seattle, WA",US,47.6067006,-122.3346896,"""The Seattle Public Library's Central Library is the flagship library of The Seattle Public Library system. The 11-story glass and steel building in downtown Seattle, Washington was opened to the public on Sunday, May 23, 2004""",https://upload.wikimedia.org/wikipedia/commons/7/7f/2009-0604-19-SeattleCentralLibrary.jpg,Library,https://www.spl.org/hours-and-locations/central-library,Curbed
Central Boston Public Library,"700 Boylston St, Boston, MA 02116","Boston, MA",US,42.3494163,-71.0810172,"""The crown jewel of the Boston Public Library system, the Central Library is made up of two buildings by Charles Follen McKim and Philip Johnson. The McKim Building in Copley Square was constructed in 1895 and houses a massive reading room—called Bates Hall—that’s full of green lamps and classic wooden tables.""",https://wgbh.brightspotcdn.com/dims4/default/2522535/2147483647/strip/true/crop/640x349+0+55/resize/990x540!/quality/90/?url=http%3A%2F%2Fcdn-news.wgbh.org%2Fs3fs-public%2F640px-Boston_Public_Library_Reading_Room.jpg,Library,https://www.bpl.org/,Curbed
Fisher Fine Arts Library,"220 S 34th St, Philadelphia, PA 19104","Philadelphia, PA",US,39.9516107,-75.1949582,"""Designed by American architect Frank Furness in 1888, the library at the University of Pennsylvania rejected the popular marble or granite designs of the late nineteenth century in favor of fiery red brick. The building contains a mix of towers, chimneys, and sky-lighted rooms that mimic the factories of downtown Philadelphia.""",http://www.library.upenn.edu/sites/default/files/2017-09/apse.jpg,Library,http://www.library.upenn.edu/finearts,Curbed
Library of Congress,"101 Independence Ave SE, Washington, DC 20540","Washington, DC",US,38.888684,-77.0069077,"No round up of the most stunning libraries in the United States would be complete without the Library of Congress in Washington D.C. The largest library in the world, the Library of Congress is housed in three buildings on Capitol Hill.",https://www.loc.gov/portals/static/visit/tours/images/student-tour.jpg,Library,https://www.loc.gov/,Curbed
Arabian Library,"10215 E McDowell Mountain Ranch Rd, Scottsdale, AZ 85255","Scottsdale, AZ",US,33.6276703,-111.8655795,"Designed by richärd+bauer architects and opened in 2007, this modern library pays homage to Arizona’s desert environment. The sloping angle of the roof line and the earthen and stone roof echo the stone walls of the state’s desert slot canyons. The library’s exterior—made up of weather steel plates—also mimic the color of the terra-cotta walls of stone.",https://images.adsttc.com/media/images/5014/227b/28ba/0d3b/4500/134a/newsletter/stringio.jpg?1414028125,Library,http://www.scottsdalelibrary.org/,Curbed
State Law Library,"1007 E Grand Ave # 214, Des Moines, IA 50319","Des Moines, IA",US,41.5911805,-93.6062534,"This library in Des Moines, Iowa, provides Iowa lawmakers, government employees, the Iowa legal community, and the general public access to 105,000 volumes of legal treatises on state, federal, regulatory, and case law.

Originally created thanks to an act of Congress in 1838, the law library’s collection moved from location to location until 1886 when it settled on the second floor of the State Capitol Building in Des Moines. The library’s grand hall is intricately decorated in the Victorian style, boasting painted ceilings, stained glass inserts, and book-lined alcoves forty-five feet in height",https://hips.hearstapps.com/hbu.h-cdn.co/assets/16/29/2048x1024/landscape-1468877470-index-iowa-library.jpg?resize=480:*,Library,https://www.statelibraryofiowa.org/services/collections/law-library,Curbed
Billings Public Library,"510 N Broadway, Billings, MT 59101","Billings, MT",US,45.7858608,-108.5126307,"Recently completed in 2015, the architecture team at Will Bruder Architects designed this building to be a sustainable, transparent, and dynamic gathering space for the community. Sitting along Billings’ busy 6th Avenue, the light-filled library cost $20 million to build.

According to the architect, “The library’s architecture is thus a hybrid of both the handsome and beautifully restored 19th century main train depot on Montana Street and the powerful block long warehouse buildings of brick masonry and metal that serve to shelter the transfer of resources at this point of commerce.”",http://willbruderarchitects.com/wp-content/uploads/2015/06/4_EXT-DAY.1.jpg,Library,https://billingslibrary.org/,Curbed
Beinecke Rare Book & Manuscript Library,"121 Wall St, New Haven, CT 06511","New Haven, CT",US,41.3115804,-72.929449,"One of the world’s largest libraries devoted entirely to rare books and manuscripts, the Beinecke Library sits on the Yale University campus. The building—made of Vermont marble and granite, bronze and glass—was designed by Gordon Bunshaft, of Skidmore, Owings and Merrill. Work began on the building in 1960 and was completed in 1963.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Beinecke-Rare-Book-Manuscript-Library-Interior-Yale-University-New-Haven-Connecticut-Apr-2014-a.jpg,Library,https://beinecke.library.yale.edu/,Curbed
"Harold Washington Library Center, Chicago Public Library","400 S State St, Chicago, IL 60605","Chicago, IL",US,41.8762968,-87.6304166,"As the Chicago Public Library’s main branch, the Harold Washington Library Center broke ground in 1988 after a competition to design a new central library in the South Loop. An 11-member citizen jury selected the design by Thomas Beeby from Hammond, Beeby & Babka, Inc., and the building opened in 1991.",https://americanlibrariesmagazine.org/wp-content/uploads/2017/05/btn1.jpg,Library,https://www.chipublib.org/locations/34/,Curbed
"Geisel Library in San Diego, California","9500 Gilman Dr, La Jolla, CA 92093","La Jolla, CA",US,32.8811507,-117.2396384,"Located at UC San Diego, the Geisel Library was designed in the late 1960s by William Pereira as an eight-story, Brutalist concrete structure. It sits at the head of a canyon near the center of the campus, and the lower two stories form a pedestal for the six-story, stepped tower.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Geisel-Library.jpg/250px-Geisel-Library.jpg,Library,http://libraries.ucsd.edu,Curbed
Cook William W Legal Research Library,"801 Monroe St, Ann Arbor, MI 48109",,US,42.2737013,-83.7420261,"The grand building has large spires, stained glass windows, and metal work by the best metal worker of the time, Samuel Yellin. But the most stunning aspect of the library is likely its huge reading room, where large desks, wooden paneling, and elegant chandeliers create a peaceful and elegant hall.",https://lh5.googleusercontent.com/p/AF1QipN7G0kUHbpEReT2zsXjg5HTUQgDSe3LNGRRbzeh=w240-h160-k-no,Library,http://www.law.umich.edu/library/home/Pages/default.aspx,Curbed
Lawrence Public Library,"707 Vermont St,  66044","Lawrence, KS",US,38.9708174,-95.239817,"The new design—from the firm Gould Evans—uses glass and terra-cotta to create a welcoming space that’s bright and airy. A wraparound reading room was a major addition, and the renovation also included new communal meeting spaces, a music recording studio, and teen gaming zones. Outside the library, locals can enjoy a butterfly garden in the summer and an ice skating rink in the winter.",https://www.arch2o.com/wp-content/uploads/2017/11/Arch2O-Lawrence-Public-Library-Gould-Evans-017-copy.jpg,Library,https://lplks.org/,Curbed
San Francisco Public Library,"100 Larkin St,  94102","San Francisco, CA",US,37.7790819,-122.4179848,"The Main Library of the San Francisco Public Library system opened at its current site in 1996 and features seven floors with two million items. The building was designed by James Ingo Freed of Pei Cobb Freed & Partners (New York) and Cathy Simon of Simon Martin-Vegue Winkelstein & Moris (San Francisco) and represents the largest public/private partnership in the history of San Francisco at a cost of more than $122 million.

The most recognizable feature of the library is a dramatic skylight in the building’s five-story central atrium. Bridges connect the floors across lightwells, and the design includes a grand staircase that rises four stories.",http://sfyouthworks.org/wp-content/uploads/2012/09/34120917.jpg,Library,https://sfpl.org/index.php?pg=0100000101,Curbed
"The Doe Library in Berkeley, California","University of California, South Hall Rd, Berkeley, CA 94704","Berkeley, CA",US,37.8723786,-122.2623407,"Set on the UC Berkeley campus, the Doe Library—which sits adjacent to the Bancroft Library—features a Neoclassical-style building completed in 1911. Named after its benefactor, Charles Franklin Doe, the structure’s iconic columns and grand scale make it one of the most recognizable buildings on campus.",http://i2.wp.com/www.dailycal.org/assets/uploads/2015/02/IMG_2414-e1423255186483-900x580.jpg,Library,http://www.lib.berkeley.edu/libraries/doe-library,Curbed
